cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,0,7.74177,43.1965,0.398807,9.38488,43.1218,0.342857
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,1,6.21855,41.6295,0.44252,6.6028,40.4835,0.342857
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,2,5.53331,41.3435,0.436038,5.16854,39.9819,0.4
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,3,5.90589,41.2636,0.414156,5.15526,39.6919,0.485714
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,4,6.50057,41.2356,0.405134,5.49751,39.4311,0.514286
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,5,7.03383,41.2447,0.406741,5.88347,39.1891,0.514286
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,6,7.46824,41.29,0.408348,6.25691,38.9802,0.514286
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,7,7.80738,41.3689,0.410267,6.54639,38.7731,0.514286
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,8,8.08125,41.4887,0.410889,6.71898,38.554,0.514286
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,9,8.32798,41.6416,0.412341,6.8002,38.2638,0.571429
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,10,8.61884,41.8227,0.412963,6.99893,37.9436,0.542857
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,11,9.0593,41.8977,0.412237,7.28569,37.6199,0.542857
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,12,9.48794,41.9525,0.412963,7.45975,37.2601,0.542857
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,13,9.76894,42.1011,0.408141,7.43711,36.8894,0.571429
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,14,10.0128,42.3446,0.396526,7.27747,36.5089,0.628571
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,15,10.4404,42.5977,0.386777,7.19404,36.0941,0.628571
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,16,11.2489,42.6974,0.386362,7.26774,35.6238,0.657143
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,17,12.2144,42.7594,0.384236,7.66696,35.1682,0.657143
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,18,12.7949,42.976,0.379362,7.83063,34.5894,0.685714
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,19,13.0537,43.2924,0.378325,7.80823,33.824,0.628571
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,20,14.3733,43.286,0.379207,8.41081,32.8786,0.6
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,21,14.7089,43.7791,0.373036,7.94145,31.9739,0.714286
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,22,16.064,44.0292,0.36614,7.86877,31.1317,0.685714
