batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,0,289.189
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,1,195.567
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,2,152.163
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,3,150.933
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,4,162.753
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,5,174.08
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,6,162.302
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,7,152.213
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,8,141.533
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,9,132.851
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,10,121.735
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,11,110.204
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,12,103.91
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,13,95.0111
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,14,90.0664
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,15,82.3285
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,16,73.5116
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,17,66.4449
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,18,58.9577
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,19,52.8481
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,20,49.5884
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,21,46.3964
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,22,42.7127
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,23,38.6282
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,24,34.3817
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,25,31.6662
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,26,29.1032
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,27,26.9077
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,28,25.7831
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,29,23.6165
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,30,21.43
9,0.005,19,1111,1.0,0.0,3,3,7,3,100,106,31,19.7435
