batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,0,79.6768
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,1,77.2959
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,2,75.0009
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,3,72.7985
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,4,70.6953
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,5,68.6959
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,6,66.8051
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,7,65.0263
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,8,63.3609
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,9,61.8094
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,10,60.3686
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,11,59.0343
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,12,57.8002
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,13,56.6593
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,14,55.6043
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,15,54.6264
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,16,53.7172
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,17,52.8686
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,18,52.0741
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,19,51.3277
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,20,50.6241
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,21,49.9594
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,22,49.3309
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,23,48.7371
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,24,48.1758
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,25,47.6451
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,26,47.1436
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,27,46.6698
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,28,46.2221
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,29,45.7983
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,30,45.3955
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,31,45.0113
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,32,44.6421
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,33,44.2857
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,34,43.94
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,35,43.6034
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,36,43.2745
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,37,42.9527
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,38,42.6379
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,39,42.3303
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,40,42.03
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,41,41.7375
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,42,41.4532
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,43,41.1773
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,44,40.9099
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,45,40.6508
