batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,0,284.369
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,1,277.758
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,2,271.232
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,3,264.81
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,4,258.488
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,5,252.266
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,6,246.158
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,7,240.153
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,8,234.268
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,9,228.504
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,10,222.843
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,11,217.311
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,12,211.915
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,13,206.649
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,14,201.516
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,15,196.509
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,16,191.625
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,17,186.88
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,18,182.285
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,19,177.837
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,20,173.52
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,21,169.325
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,22,165.265
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,23,161.354
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,24,157.558
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,25,153.865
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,26,150.273
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,27,146.805
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,28,143.455
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,29,140.216
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,30,137.089
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,31,134.058
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,32,131.115
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,33,128.245
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,34,125.439
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,35,122.705
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,36,120.025
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,37,117.406
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,38,114.865
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,39,112.39
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,40,109.976
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,41,107.618
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,42,105.323
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,43,103.094
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,44,100.922
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,45,98.8031
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,46,96.7385
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,47,94.7273
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,48,92.7641
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,49,90.846
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,50,88.9729
