batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,0,220.726
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,1,214.12
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,2,207.636
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,3,201.297
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,4,195.106
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,5,189.053
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,6,183.132
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,7,177.365
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,8,171.758
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,9,166.313
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,10,161.012
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,11,155.85
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,12,150.835
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,13,145.987
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,14,141.278
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,15,136.71
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,16,132.302
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,17,128.025
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,18,123.888
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,19,119.872
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,20,116.0
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,21,112.305
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,22,108.759
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,23,105.336
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,24,102.033
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,25,98.8477
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,26,95.7623
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,27,92.7806
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,28,89.8959
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,29,87.1253
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,30,84.4626
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,31,81.8973
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,32,79.4373
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,33,77.0568
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,34,74.7763
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,35,72.5609
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,36,70.3928
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,37,68.2925
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,38,66.2731
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,39,64.3327
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,40,62.4666
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,41,60.6571
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,42,58.8998
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,43,57.1971
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,44,55.5383
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,45,53.9331
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,46,52.385
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,47,50.8871
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,48,49.4292
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,49,48.009
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,50,46.6412
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,51,45.3165
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,52,44.0265
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,53,42.7674
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,54,41.5479
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,55,40.3638
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,56,39.2232
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,57,38.1199
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,58,37.0474
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,59,36.0113
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,60,35.0053
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,61,34.0226
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,62,33.0674
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,63,32.1378
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,64,31.2264
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,65,30.3332
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,66,29.4677
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,67,28.6344
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,68,27.8241
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,69,27.0306
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,70,26.2547
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,71,25.5014
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,72,24.7711
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,73,24.0632
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,74,23.3809
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,75,22.7254
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,76,22.0965
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,77,21.4904
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,78,20.9046
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,79,20.3344
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,80,19.7826
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,81,19.2496
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,82,18.7325
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,83,18.2289
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,84,17.7415
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,85,17.2679
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,86,16.8032
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,87,16.3474
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,88,15.9025
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,89,15.4708
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,90,15.0499
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,91,14.6394
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,92,14.2404
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,93,13.8536
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,94,13.4758
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,95,13.1065
