batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,0,206.563
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,1,200.254
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,2,194.089
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,3,188.086
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,4,182.23
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,5,176.542
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,6,171.012
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,7,165.628
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,8,160.392
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,9,155.305
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,10,150.37
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,11,145.568
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,12,140.903
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,13,136.356
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,14,131.932
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,15,127.64
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,16,123.474
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,17,119.422
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,18,115.493
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,19,111.654
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,20,107.926
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,21,104.336
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,22,100.878
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,23,97.5439
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,24,94.3237
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,25,91.2372
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,26,88.2664
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,27,85.414
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,28,82.6846
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,29,80.0723
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,30,77.5753
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,31,75.2053
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,32,72.9519
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,33,70.8039
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,34,68.7552
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,35,66.7824
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,36,64.8903
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,37,63.0826
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,38,61.3463
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,39,59.6668
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,40,58.0449
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,41,56.4655
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,42,54.9262
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,43,53.4314
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,44,51.9899
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,45,50.6095
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,46,49.2893
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,47,48.0133
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,48,46.7742
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,49,45.5668
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,50,44.3938
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,51,43.2553
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,52,42.1475
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,53,41.0648
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,54,40.0112
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,55,38.9902
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,56,37.9986
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,57,37.0385
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,58,36.107
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,59,35.2024
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,60,34.3236
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,61,33.4642
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,62,32.6233
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,63,31.8055
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,64,31.0118
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,65,30.2371
