batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,238.549
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,232.146
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,225.823
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,219.58
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,213.422
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,207.365
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,201.421
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,195.611
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,189.946
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,184.421
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,179.028
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,173.757
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,168.6
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,163.538
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,158.606
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,153.78
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,149.061
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,144.445
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,139.935
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,135.543
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,131.273
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,127.121
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,123.091
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,119.153
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,115.324
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,111.573
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,107.913
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,104.327
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,100.82
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,97.409
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,94.1068
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,90.8995
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,87.7781
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,84.7489
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,81.8078
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,35,78.94
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,36,76.1662
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,37,73.5136
