batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,254.468
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,247.04
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,239.674
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,232.399
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,225.233
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,218.18
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,211.267
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,204.513
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,197.943
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,191.529
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,185.265
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,179.166
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,173.248
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,167.504
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,161.928
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,156.542
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,151.356
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,146.332
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,141.482
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,136.796
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,132.297
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,127.965
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,123.76
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,119.69
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,115.76
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,111.943
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,108.265
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,104.72
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,101.327
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,98.0824
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,94.9533
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,91.9337
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,89.0466
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,86.2901
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,83.6601
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,35,81.1412
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,36,78.7057
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,37,76.353
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,38,74.1033
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,39,71.9405
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,40,69.845
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,41,67.8098
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,42,65.8505
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,43,63.9563
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,44,62.1335
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,45,60.3685
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,46,58.6496
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,47,56.9836
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,48,55.3681
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,49,53.8024
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,50,52.2782
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,51,50.7941
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,52,49.3515
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,53,47.9576
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,54,46.6168
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,55,45.3165
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,56,44.0588
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,57,42.8438
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,58,41.6784
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,59,40.5521
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,60,39.4557
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,61,38.3869
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,62,37.3491
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,63,36.3404
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,64,35.3576
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,65,34.4071
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,66,33.4953
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,67,32.6127
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,68,31.7623
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,69,30.9465
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,70,30.162
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,71,29.4024
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,72,28.6655
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,73,27.9455
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,74,27.2378
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,75,26.5435
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,76,25.8657
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,77,25.2057
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,78,24.566
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,79,23.9454
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,80,23.3383
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,81,22.7433
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,82,22.1604
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,83,21.5922
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,84,21.0436
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,85,20.5222
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,86,20.0202
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,87,19.5334
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,88,19.0585
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,89,18.5931
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,90,18.1353
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,91,17.6873
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,92,17.2495
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,93,16.8218
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,94,16.404
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,95,15.9997
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,96,15.6092
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,97,15.2274
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,98,14.8529
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,99,14.4873
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,100,14.1294
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,-1,93.0236
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,101,13.7783
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,102,13.4335
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,103,13.0939
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,104,12.7592
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,105,12.43
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,106,12.1068
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,107,11.7924
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,108,11.4872
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,109,11.1876
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,110,10.8926
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,111,10.603
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,112,10.3194
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,113,10.0419
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,114,9.76963
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,115,9.50228
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,116,9.24046
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,117,8.98482
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,118,8.73561
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,119,8.49291
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,120,8.2575
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,121,8.02974
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,122,7.8086
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,123,7.59255
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,124,7.38173
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,125,7.17661
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,126,6.97692
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,127,6.78226
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,128,6.59163
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,129,6.40484
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,130,6.22204
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,131,6.04382
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,132,5.87032
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,133,5.70132
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,134,5.53663
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,135,5.37668
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,136,5.22065
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,137,5.0674
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,138,4.91639
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,139,4.76717
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,140,4.62094
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,141,4.47867
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,142,4.33996
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,143,4.20515
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,144,4.07406
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,145,3.94696
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,146,3.82432
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,147,3.70602
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,148,3.59181
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,149,3.48156
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,150,3.37488
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,151,3.27128
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,152,3.1702
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,153,3.07149
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,154,2.97514
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,155,2.88105
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,156,2.78944
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,157,2.70053
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,158,2.61436
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,159,2.53078
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,160,2.44963
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,161,2.37065
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,162,2.29352
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,163,2.21806
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,164,2.14423
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,165,2.0719
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,166,2.00116
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,167,1.93179
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,168,1.86367
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,169,1.79671
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,170,1.73081
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,171,1.66597
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,172,1.60225
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,173,1.53977
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,174,1.47882
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,175,1.4197
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,176,1.36271
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,177,1.30788
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,178,1.25498
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,179,1.20383
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,180,1.15441
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,181,1.10693
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,182,1.06153
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,183,1.01826
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,184,0.976764
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,185,0.936931
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,186,0.898531
