batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,0,48.5246
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,1,41.603
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,2,35.7
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,3,32.4713
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,4,30.9743
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,5,30.4813
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,6,30.3753
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,7,30.1143
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,8,29.891
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,9,29.885
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,10,29.5899
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,11,29.2433
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,12,29.0554
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,13,28.8089
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,14,28.6008
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,15,28.2665
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,16,28.1227
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,17,27.9362
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,18,27.6729
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,19,27.5296
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,20,27.3055
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,21,27.1435
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,22,27.0935
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,23,27.0943
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,24,26.7078
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,25,26.5727
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,26,26.4227
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,27,26.2723
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,28,26.1003
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,29,26.0865
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,30,25.7872
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,31,25.6089
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,32,25.4769
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,33,25.2214
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,34,25.0563
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,35,25.5901
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,36,24.7325
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,37,24.786
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,38,24.0805
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,39,23.9654
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,40,23.5142
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,41,22.924
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,42,22.5653
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,43,21.916
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,44,21.9104
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,45,20.7913
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,46,20.4249
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,47,19.8588
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,48,19.4831
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,49,19.0567
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,50,18.5271
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,51,17.9919
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,52,17.4558
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,53,16.7277
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,54,16.1468
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,55,15.7003
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,56,15.4554
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,57,15.055
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,58,14.5409
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,59,14.6908
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,60,14.4152
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,61,13.9123
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,62,14.4715
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,63,13.8995
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,64,13.1745
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,65,13.0048
