batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,0,50.2554
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,1,43.8391
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,2,37.2444
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,3,32.5238
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,4,29.1637
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,5,26.2184
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,6,24.2119
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,7,22.5272
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,8,21.853
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,9,20.2434
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,10,18.9449
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,11,17.6605
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,12,18.0672
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,13,16.0742
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,14,15.7009
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,15,14.8871
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,16,14.9708
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,17,14.6864
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,18,13.9101
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,19,13.5544
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,20,13.256
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,21,12.9981
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,22,12.7293
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,23,12.4208
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,24,12.0371
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,25,11.5011
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,26,11.2561
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,27,10.7937
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,28,10.7615
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,29,10.2449
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,30,9.91203
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,31,9.74999
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,32,9.70871
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,33,9.05254
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,34,10.152
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,35,9.44868
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,36,9.66625
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,37,8.57047
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,38,8.72984
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,39,8.80474
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,40,8.23185
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,41,7.85905
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,42,8.45964
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,43,8.21812
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,44,7.9654
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,45,7.76424
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,46,7.59505
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,47,7.42506
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,48,7.19297
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,49,6.99549
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,50,6.88128
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,51,6.72434
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,52,6.57274
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,53,6.39922
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,54,6.38311
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,55,6.11172
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,56,6.32495
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,57,6.40182
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,58,6.82428
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,59,6.97664
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,60,6.48601
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,61,6.3454
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,62,8.17324
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,63,6.09545
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,64,6.63759
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,65,6.75387
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,66,8.625
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,67,7.1071
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,68,6.26488
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,69,6.11747
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,70,6.03768
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,71,5.90964
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,72,5.74157
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,73,5.623
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,74,5.51569
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,75,5.43683
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,76,5.33372
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,77,5.14654
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,78,5.13913
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,79,4.95773
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,80,4.88592
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,81,4.77708
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,82,4.79186
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,83,4.71909
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,84,4.68964
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,85,4.58197
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,86,4.41896
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,87,4.271
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,88,4.29128
