batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,0,49.4926
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,1,41.9385
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,2,35.7291
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,3,31.157
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,4,27.2837
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,5,23.7741
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,6,19.7127
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,7,17.4188
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,8,15.5335
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,9,14.4943
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,10,13.4071
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,11,14.1381
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,12,11.0873
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,13,12.0762
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,14,11.0739
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,15,9.75417
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,16,9.58509
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,17,9.1814
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,18,8.61324
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,19,8.69482
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,20,7.92606
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,21,8.2203
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,22,7.75182
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,23,7.11281
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,24,6.6013
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,25,6.39217
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,26,5.37145
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,27,5.23372
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,28,5.06184
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,29,4.8037
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,30,8.72225
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,31,4.46149
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,32,3.86958
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,33,4.37993
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,34,5.52744
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,35,5.04878
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,36,4.58404
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,37,3.79212
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,38,3.3855
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,39,3.13503
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,40,2.97984
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,41,3.01521
