batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,45.4204
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,39.261
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,33.2335
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,29.7653
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,24.0626
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,21.4962
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,18.9557
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,16.9174
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,15.3668
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,14.572
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,13.4044
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,12.2344
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,11.4023
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,10.5357
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,9.82728
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,9.14055
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,8.64946
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,7.9106
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,7.30673
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,6.83127
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,6.15938
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,9.02246
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,13.0941
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,6.97119
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,8.0583
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,10.142
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,6.93368
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,6.70833
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,6.4838
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,6.66079
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,6.56991
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,6.89879
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,5.86917
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,5.42427
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,5.0705
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,35,4.97719
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,36,4.692
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,37,4.37663
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,38,4.25959
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,39,4.13173
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,40,3.87393
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,41,3.6179
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,42,3.66754
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,43,5.38599
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,44,5.08379
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,45,4.59534
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,46,4.82722
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,47,4.55969
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,48,3.9619
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,49,3.92746
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,50,3.70757
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,51,3.43921
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,52,3.29119
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,53,3.09586
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,54,2.85645
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,55,2.6471
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,56,2.43132
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,57,2.23319
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,58,1.94717
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,59,1.65951
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,60,1.37973
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,61,1.19648
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,62,0.968741
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,63,0.862741
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,64,0.676634
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,65,0.643817
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,66,0.54381
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,67,0.499327
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,68,0.406081
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,69,0.30334
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,70,0.203294
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,71,0.205725
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,72,0.274336
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,73,0.243225
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,74,0.190505
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,75,0.269358
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,76,0.195189
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,77,0.226234
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,78,0.213978
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,79,0.157756
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,80,0.197119
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,81,0.133815
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,82,0.220172
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,83,0.148789
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,84,0.16769
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,85,0.19021
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,86,0.129928
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,87,0.204526
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,88,0.168419
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,89,0.165466
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,90,0.166416
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,91,1.18981
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,92,1.17333
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,93,1.00641
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,94,0.670358
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,95,0.704894
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,96,1.30861
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,97,1.11514
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,98,0.896411
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,99,0.710254
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,100,0.492842
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,-1,43.1611
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,101,1.0249
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,102,1.33065
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,103,0.984253
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,104,0.761377
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,105,0.490705
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,106,0.420126
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,107,0.63515
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,108,0.763806
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,109,0.73963
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,110,0.641821
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,111,0.541261
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,112,0.420738
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,113,0.340609
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,114,0.355899
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,115,0.357467
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,116,0.312666
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,117,0.236564
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,118,0.194652
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,119,0.200279
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,120,0.233107
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,121,0.179472
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,122,0.176903
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,123,0.302212
