batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,0,5.96762
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,1,1.65018
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,2,0.211145
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,3,0.0297978
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,4,0.0135336
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,5,0.00670612
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,6,0.00316055
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,7,0.00137788
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,8,0.000989206
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,9,0.000775776
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,10,0.000460254
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,11,0.000311275
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,12,0.000233809
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,13,0.000193545
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,14,0.000180968
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,15,0.000175106
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,16,0.000157111
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,17,0.000134291
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,18,0.000112097
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,19,9.16447e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,20,7.48407e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,21,6.20434e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,22,5.29106e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,23,4.59081e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,24,4.03208e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,25,3.59403e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,26,3.2409e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,27,2.94141e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,28,2.66724e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,29,2.42884e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,30,2.21725e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,31,2.02205e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,32,1.84772e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,33,1.69573e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,34,1.56311e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,35,1.45136e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,36,1.34854e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,37,1.26361e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,38,1.18612e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,39,1.12056e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,40,1.06393e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,41,1.01625e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,42,9.71548e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,43,9.34296e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,44,8.98533e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,45,8.67241e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,46,8.4489e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,47,8.18068e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,48,7.92737e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,49,7.76345e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,50,7.55484e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,51,7.34623e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,52,7.16741e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,53,7.0184e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,54,6.83959e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,55,6.75019e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,56,6.60118e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,57,6.48197e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,58,6.37766e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,59,6.25845e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,60,6.19885e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,61,6.12434e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,62,6.02004e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,63,5.93063e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,64,5.88593e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,65,5.79652e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,66,5.70712e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,67,5.60281e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,68,5.5432e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,69,5.4836e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,70,5.4091e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,71,5.36439e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,72,5.31969e-06
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,73,5.30479e-06
