batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,0,6.96381
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,1,1.55177
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,2,0.100093
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,3,0.0117317
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,4,0.0124941
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,5,0.00892004
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,6,0.00717034
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,7,0.000888193
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,8,0.000541318
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,9,0.000812943
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,10,0.00173629
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,11,0.000456254
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,12,0.000306909
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,13,0.000321392
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,14,0.000351976
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,15,0.000232682
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,16,0.000165898
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,17,0.000119859
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,18,8.94939e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,19,6.95184e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,20,5.66215e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,21,4.67042e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,22,3.90634e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,23,3.28888e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,24,2.81326e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,25,2.43062e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,26,2.13142e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,27,1.88824e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,28,1.69036e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,29,1.52228e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,30,1.38162e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,31,1.25883e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,32,1.15036e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,33,1.05618e-05
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,34,9.79891e-06
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,35,9.10751e-06
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,36,8.583e-06
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,37,8.10617e-06
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,38,7.76047e-06
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,39,7.42669e-06
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,40,7.18827e-06
