batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,6.21748
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,1.30201
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,0.613014
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,0.0505115
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,0.0940225
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,0.00814569
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,0.00146868
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,0.00415357
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,0.00114312
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,0.000816937
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,0.000725027
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,0.000735283
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,0.000813233
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,0.000784315
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,0.000639839
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,0.00051464
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,0.000413379
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,0.00032312
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,0.000249181
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,0.000196382
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,0.000156563
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,0.000125212
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,0.000100903
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,8.3053e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,7.02875e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,6.08982e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,5.34157e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,4.68732e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,4.09531e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,3.55495e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,3.09404e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,2.71127e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,2.40664e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,2.16029e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,1.96824e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,35,1.81725e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,36,1.69142e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,37,1.58943e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,38,1.50334e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,39,1.43182e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,40,1.36029e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,41,1.29671e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,42,1.23976e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,43,1.19208e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,44,1.14175e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,45,1.10069e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,46,1.05698e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,47,1.01194e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,48,9.74856e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,49,9.40418e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,50,9.13927e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,51,8.84788e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,52,8.59622e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,53,8.39754e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,54,8.14588e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,55,7.97369e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,56,7.85448e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,57,7.66905e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,58,7.52335e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,59,7.37765e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,60,7.25845e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,61,7.12599e-06
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,62,7.04652e-06
