batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,6.44264
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,1.74114
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,1.78874
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,0.424748
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,0.0314911
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,0.0154084
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,0.00710619
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,0.00341895
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,0.00179979
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,0.00110269
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,0.000736341
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,0.000560954
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,0.000472687
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,0.000418561
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,0.000378827
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,0.000341625
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,0.000305135
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,0.000268602
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,0.000233815
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,0.000202348
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,0.000173712
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,0.000149747
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,0.000131501
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,0.000118431
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,0.000108936
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,0.000101797
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,9.63805e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,9.19701e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,8.79703e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,8.38116e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,7.93087e-05
