batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,0,228.563
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,1,201.264
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,2,176.447
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,3,153.826
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,4,133.803
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,5,117.18
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,6,103.274
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,7,91.8125
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,8,81.56
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,9,71.5916
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,10,62.4253
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,11,55.3423
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,12,51.1738
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,13,49.4214
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,14,48.7763
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,15,48.4173
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,16,48.1531
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,17,47.779
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,18,46.979
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,19,45.7624
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,20,44.2278
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,21,42.4379
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,22,40.5406
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,23,38.6538
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,24,36.8859
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,25,35.2933
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,26,33.8707
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,27,32.7218
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,28,31.7895
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,29,31.0017
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,30,30.2117
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,31,29.3953
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,32,28.6417
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,33,27.8612
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,34,27.0502
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,35,26.2346
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,36,25.4838
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,37,24.822
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,38,24.2395
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,39,23.697
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,40,23.2003
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,41,22.7541
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,42,22.3026
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,43,21.825
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,44,21.3492
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,45,20.9033
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,46,20.4925
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,47,20.0936
