batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,133.902
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,117.486
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,102.773
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,90.7884
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,81.6159
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,74.3287
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,68.035
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,62.4801
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,57.5212
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,53.1356
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,49.3732
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,46.1414
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,43.2411
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,40.5909
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,38.2494
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,36.3587
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,34.8273
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,33.5108
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,32.2539
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,31.0053
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,29.7341
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,28.4633
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,27.2735
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,26.197
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,25.2362
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,24.3724
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,23.5487
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,22.74
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,21.9444
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,21.1889
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,20.4621
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,19.7776
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,19.1588
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,18.6008
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,18.0792
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,35,17.5774
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,36,17.0972
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,37,16.6385
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,38,16.1841
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,39,15.7421
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,40,15.3153
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,41,14.9022
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,42,14.5141
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,43,14.1463
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,44,13.7846
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,45,13.4324
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,46,13.0974
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,47,12.7804
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,48,12.4708
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,49,12.1688
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,50,11.8711
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,51,11.5791
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,52,11.2989
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,53,11.0327
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,54,10.7764
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,55,10.528
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,56,10.2893
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,57,10.0607
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,58,9.84036
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,59,9.6251
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,60,9.41388
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,61,9.20748
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,62,9.00792
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,63,8.81683
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,64,8.63326
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,65,8.45568
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,66,8.28321
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,67,8.11585
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,68,7.95252
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,69,7.79345
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,70,7.63967
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,71,7.49121
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,72,7.34927
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,73,7.21465
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,74,7.08496
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,75,6.95787
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,76,6.83334
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,77,6.71238
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,78,6.59563
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,79,6.48246
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,80,6.37273
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,81,6.26629
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,82,6.16287
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,83,6.06227
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,84,5.96426
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,85,5.86869
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,86,5.77557
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,87,5.68498
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,88,5.59688
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,89,5.51081
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,90,5.42631
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,91,5.34349
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,92,5.26257
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,93,5.18352
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,94,5.1062
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,95,5.03044
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,96,4.95609
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,97,4.88306
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,98,4.81126
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,99,4.74072
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,100,4.67134
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,-1,24.1412
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,101,4.60314
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,102,4.53612
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,103,4.47027
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,104,4.4057
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,105,4.3422
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,106,4.27982
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,107,4.2186
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,108,4.15857
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,109,4.09967
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,110,4.04186
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,111,3.98505
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,112,3.9292
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,113,3.87436
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,114,3.82049
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,115,3.76755
