batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,67.8142
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,60.8308
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,54.4974
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,48.9088
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,44.0813
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,39.9499
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,36.5301
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,33.7195
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,31.2831
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,29.108
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,27.1683
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,25.4976
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,24.0328
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,22.7132
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,21.5536
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,20.5974
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,19.8406
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,19.2063
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,18.622
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,18.0435
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,17.445
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,16.8225
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,16.173
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,15.5022
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,14.8275
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,14.1661
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,13.5357
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,12.9505
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,12.4159
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,11.9338
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,11.5061
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,11.1255
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,10.7743
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,10.4386
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,10.1092
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,35,9.78388
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,36,9.4643
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,37,9.15436
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,38,8.86051
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,39,8.58634
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,40,8.33178
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,41,8.09716
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,42,7.88016
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,43,7.67826
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,44,7.48662
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,45,7.30106
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,46,7.11811
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,47,6.93696
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,48,6.75876
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,49,6.58607
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,50,6.42108
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,51,6.26571
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,52,6.1201
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,53,5.98373
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,54,5.85412
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,55,5.72847
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,56,5.60449
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,57,5.4811
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,58,5.35899
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,59,5.24001
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,60,5.12605
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,61,5.01766
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,62,4.91459
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,63,4.81588
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,64,4.72057
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,65,4.628
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,66,4.53733
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,67,4.44848
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,68,4.36187
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,69,4.27733
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,70,4.19535
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,71,4.11594
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,72,4.03876
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,73,3.96366
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,74,3.89049
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,75,3.81872
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,76,3.74832
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,77,3.67937
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,78,3.61187
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,79,3.54606
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,80,3.48197
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,81,3.41962
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,82,3.35899
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,83,3.29981
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,84,3.24207
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,85,3.18575
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,86,3.13085
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,87,3.07729
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,88,3.02513
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,89,2.97423
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,90,2.92453
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,91,2.87601
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,92,2.82867
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,93,2.78249
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,94,2.7374
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,95,2.69344
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,96,2.65045
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,97,2.60842
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,98,2.56736
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,99,2.52729
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,100,2.48821
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,-1,12.4423
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,101,2.44997
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,102,2.41256
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,103,2.37597
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,104,2.34011
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,105,2.30494
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,106,2.27045
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,107,2.23665
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,108,2.20353
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,109,2.17103
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,110,2.13911
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,111,2.10783
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,112,2.07716
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,113,2.04707
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,114,2.0176
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,115,1.98873
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,116,1.96044
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,117,1.93275
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,118,1.9056
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,119,1.87897
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,120,1.85287
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,121,1.82728
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,122,1.80219
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,123,1.77761
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,124,1.75353
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,125,1.72993
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,126,1.70688
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,127,1.68432
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,128,1.66221
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,129,1.64054
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,130,1.61928
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,131,1.59845
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,132,1.57802
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,133,1.55798
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,134,1.53829
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,135,1.51895
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,136,1.49992
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,137,1.48117
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,138,1.46273
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,139,1.44461
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,140,1.42681
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,141,1.40936
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,142,1.39223
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,143,1.37542
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,144,1.35891
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,145,1.34268
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,146,1.32675
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,147,1.31109
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,148,1.29572
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,149,1.28061
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,150,1.26574
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,151,1.25112
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,152,1.23674
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,153,1.2226
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,154,1.20868
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,155,1.19498
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,156,1.1815
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,157,1.16826
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,158,1.15525
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,159,1.14246
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,160,1.12988
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,161,1.11752
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,162,1.10535
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,163,1.09338
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,164,1.08161
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,165,1.07002
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,166,1.05863
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,167,1.0474
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,168,1.03633
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,169,1.02541
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,170,1.01466
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,171,1.00407
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,172,0.993606
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,173,0.983288
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,174,0.973105
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,175,0.963044
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,176,0.953109
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,177,0.943277
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,178,0.933565
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,179,0.923993
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,180,0.914561
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,181,0.905289
