batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,0,98.9336
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,1,89.4757
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,2,80.9713
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,3,73.5995
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,4,67.499
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,5,62.6252
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,6,58.7403
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,7,55.5578
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,8,52.8948
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,9,50.689
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,10,48.949
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,11,47.6916
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,12,46.8983
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,13,46.4976
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,14,46.3721
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,15,46.3745
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,16,46.3561
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,17,46.1977
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,18,45.8311
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,19,45.2481
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,20,44.4929
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,21,43.6424
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,22,42.7862
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,23,42.0055
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,24,41.3581
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,25,40.8724
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,26,40.545
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,27,40.3482
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,28,40.2403
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,29,40.1779
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,30,40.1252
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,31,40.0584
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,32,39.965
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,33,39.8432
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,34,39.6968
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,35,39.5338
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,36,39.361
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,37,39.1851
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,38,39.011
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,39,38.8416
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,40,38.6792
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,41,38.5255
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,42,38.3821
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,43,38.2505
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,44,38.1313
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,45,38.024
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,46,37.9274
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,47,37.8387
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,48,37.7546
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,49,37.6722
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,50,37.5887
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,51,37.5026
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,52,37.4137
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,53,37.3228
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,54,37.2318
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,55,37.1425
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,56,37.0567
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,57,36.9761
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,58,36.901
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,59,36.8316
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,60,36.7672
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,61,36.707
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,62,36.6496
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,63,36.5939
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,64,36.5389
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,65,36.4841
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,66,36.4288
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,67,36.3734
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,68,36.3181
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,69,36.2634
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,70,36.2097
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,71,36.1575
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,72,36.1071
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,73,36.0585
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,74,36.0115
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,75,35.9659
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,76,35.9216
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,77,35.8782
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,78,35.8357
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,79,35.7939
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,80,35.7529
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,81,35.7125
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,82,35.6729
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,83,35.6338
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,84,35.5953
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,85,35.5575
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,86,35.5202
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,87,35.4837
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,88,35.4479
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,89,35.4129
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,90,35.3788
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,91,35.3454
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,92,35.3127
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,93,35.2805
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,94,35.2488
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,95,35.2176
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,96,35.1866
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,97,35.1561
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,98,35.1261
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,99,35.0965
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,100,35.0674
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,-1,35.9541
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,101,35.0388
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,102,35.0107
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,103,34.9831
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,104,34.956
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,105,34.9292
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,106,34.9029
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,107,34.8769
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,108,34.8513
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,109,34.8261
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,110,34.8012
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,111,34.7767
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,112,34.7525
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,113,34.7286
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,114,34.7051
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,115,34.6819
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,116,34.659
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,117,34.6364
