batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,0,48.3054
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,1,42.5475
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,2,37.8921
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,3,34.4604
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,4,32.3248
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,5,31.0972
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,6,30.5592
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,7,30.3881
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,8,30.2961
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,9,30.2961
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,10,30.3092
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,11,30.3167
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,12,30.3171
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,13,30.2979
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,14,30.2508
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,15,30.1521
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,16,30.0589
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,17,29.9294
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,18,29.8299
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,19,29.8972
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,20,29.6618
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,21,29.7733
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,22,29.3939
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,23,30.047
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,24,29.7311
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,25,29.7979
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,26,29.8456
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,27,29.5231
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,28,29.3934
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,29,29.3362
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,30,29.1031
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,31,28.8848
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,32,28.669
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,33,28.5011
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,34,28.071
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,35,27.8181
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,36,27.7603
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,37,28.2415
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,38,27.4027
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,39,27.199
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,40,27.0514
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,41,27.3289
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,42,29.2369
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,43,26.7084
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,44,28.4515
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,45,26.642
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,46,27.906
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,47,27.3882
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,48,26.5694
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,49,27.1982
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,50,26.9599
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,51,26.0874
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,52,26.5987
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,53,26.0911
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,54,26.8896
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,55,26.193
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,56,26.8916
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,57,25.8968
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,58,26.0724
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,59,25.6133
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,60,25.4132
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,61,25.5544
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,62,27.6772
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,63,26.5629
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,64,30.2701
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,65,27.7874
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,66,25.4863
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,67,27.9863
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,68,27.4045
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,69,26.0612
4,0.005,38,1250,1.0,0.0,3,3,7,3,100,106,70,26.0883
