batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,0,7.49202
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,1,3.74672
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,2,1.52327
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,3,2.28573
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,4,0.961024
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,5,0.698174
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,6,0.145518
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,7,0.0201276
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,8,0.00827321
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,9,0.0296699
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,10,0.0320841
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,11,0.0154629
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,12,0.00809038
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,13,0.00574671
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,14,0.0022813
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,15,0.00137857
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,16,0.00153638
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,17,0.00158581
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,18,0.00146576
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,19,0.00133947
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,20,0.000964926
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,21,0.00070897
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,22,0.000550945
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,23,0.000470284
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,24,0.00040201
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,25,0.000344483
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,26,0.000311461
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,27,0.000262205
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,28,0.000193569
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,29,0.000106947
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,30,8.34679e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,31,7.52733e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,32,7.04609e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,33,6.62148e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,34,6.24753e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,35,5.91827e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,36,5.62477e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,37,5.34318e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,38,5.07797e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,39,4.82021e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,40,4.56841e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,41,4.32704e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,42,4.10802e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,43,3.90986e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,44,3.73404e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,45,3.59547e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,46,3.4733e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,47,3.35708e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,48,3.25725e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,49,3.16189e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,50,3.07249e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,51,2.98756e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,52,2.90859e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,53,2.82068e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,54,2.74469e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,55,2.67019e-05
4,0.005,8,1250,1.0,0.0,3,3,7,3,100,106,56,2.60165e-05
