batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,0,6.50382
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,1,3.34638
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,2,2.09693
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,3,0.895191
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,4,0.642084
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,5,0.0661709
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,6,0.0238415
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,7,0.0168494
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,8,0.0482049
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,9,0.022496
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,10,0.00359306
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,11,0.00227315
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,12,0.00308179
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,13,0.00204035
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,14,0.0112332
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,15,0.00245602
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,16,0.00572311
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,17,0.0027204
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,18,0.0043543
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,19,0.0149585
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,20,0.00205266
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,21,0.374898
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,22,0.986794
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,23,0.01461
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,24,1.37871
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,25,0.417525
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,26,0.899627
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,27,0.163861
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,28,0.0574241
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,29,0.0691143
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,30,0.0420368
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,31,0.0213191
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,32,0.030632
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,33,0.0298395
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,34,0.0963256
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,35,0.035424
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,36,0.0134794
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,37,0.0125897
4,0.005,10,1250,1.0,0.0,3,3,7,3,100,106,38,0.00374987
