batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,5.27799
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,5.28578
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,3.21989
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,2.75471
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,1.34361
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,0.552172
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,0.181134
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,0.0403523
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,0.0307535
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,0.172925
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,0.0935605
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,0.0092601
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,0.0134009
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,0.025599
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,0.140462
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,0.0457985
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,0.0335064
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,0.00563173
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,0.00154561
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,0.00149273
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,0.00145212
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,0.000740295
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,0.000714405
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,0.000647905
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,0.000490946
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,0.000460726
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,0.00056825
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,0.000592348
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,0.000753252
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,0.000838003
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,0.000809769
