batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,0,5.85979
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,1,2.59262
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,2,3.16722
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,3,2.1468
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,4,2.00768
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,5,0.657184
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,6,0.470137
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,7,0.0680939
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,8,0.0568229
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,9,0.052581
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,10,0.464017
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,11,0.0955252
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,12,1.54646
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,13,0.607072
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,14,0.272884
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,15,0.190487
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,16,0.00918909
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,17,0.028885
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,18,0.0534825
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,19,0.0296273
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,20,0.0534726
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,21,0.0356713
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,22,0.016072
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,23,0.0146644
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,24,0.0129151
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,25,0.0099119
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,26,0.00598344
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,27,0.00341229
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,28,0.00204815
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,29,0.00146117
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,30,0.00609669
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,31,0.0057942
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,32,0.00377238
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,33,0.00120304
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,34,0.00046997
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,35,0.000386667
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,36,0.000341246
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,37,0.000307513
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,38,0.000282515
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,39,0.000270836
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,40,0.000284319
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,41,0.000277563
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,42,0.000270706
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,43,0.000248226
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,44,0.00022123
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,45,0.000206651
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,46,0.000199647
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,47,0.000193106
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,48,0.000186578
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,49,0.000166067
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,50,0.000138817
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,51,9.94893e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,52,6.43288e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,53,7.02489e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,54,8.63789e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,55,7.35206e-05
4,0.005,9,1250,1.0,0.0,3,3,7,3,100,106,56,6.30714e-05
