batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,0,48.7156
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,1,42.5349
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,2,37.3056
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,3,34.9666
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,4,33.5706
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,5,32.8352
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,6,32.5155
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,7,32.4008
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,8,32.4245
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,9,32.3622
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,10,32.2783
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,11,32.3844
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,12,32.5637
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,13,32.5739
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,14,32.56
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,15,32.5426
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,16,32.5224
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,17,32.5023
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,18,32.4781
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,19,32.4609
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,20,32.4373
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,21,32.3971
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,22,32.3692
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,23,32.3362
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,24,32.2965
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,25,32.2642
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,26,32.2209
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,27,32.1836
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,28,32.1122
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,29,32.0235
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,30,31.9271
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,31,31.8764
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,32,31.765
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,33,31.6791
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,34,31.5799
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,35,31.4729
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,36,31.3414
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,37,31.6161
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,38,31.6172
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,39,31.6082
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,40,31.2864
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,41,31.0373
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,42,30.8586
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,43,30.8324
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,44,30.63
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,45,30.4057
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,46,30.1599
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,47,30.137
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,48,29.9494
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,49,29.9858
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,50,30.1781
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,-1,35.2742
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,51,29.5558
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,52,29.9885
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,53,29.9091
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,54,29.5493
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,55,29.6027
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,56,29.5704
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,57,29.3765
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,58,29.3243
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,59,29.2248
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,60,29.0101
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,61,28.7593
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,62,30.681
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,63,29.6574
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,64,28.9605
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,65,28.6495
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,66,28.9024
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,67,28.6146
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,68,28.4739
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,69,28.0017
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,70,27.7665
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,71,28.157
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,72,28.0507
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,73,27.7092
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,74,28.3029
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,75,28.2715
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,76,27.8014
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,77,27.4447
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,78,27.5189
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,79,27.2918
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,80,27.0704
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,81,27.0938
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,82,26.9587
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,83,26.8178
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,84,27.183
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,85,28.0431
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,86,27.3737
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,87,26.5382
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,88,27.1203
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,89,26.4234
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,90,27.2055
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,91,27.1515
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,92,26.2588
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,93,26.5781
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,94,26.1883
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,95,26.4699
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,96,25.7185
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,97,26.2308
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,98,25.5613
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,99,26.0286
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,100,25.9325
1,0.005,33,5000,1.0,0.0,3,3,7,3,100,106,-1,40.035
