batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,0,3.72126e+07
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,1,3.20263e+07
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,2,2.7711e+07
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,3,2.42121e+07
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,4,2.11756e+07
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,5,1.85831e+07
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,6,1.62652e+07
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,7,1.41753e+07
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,8,1.2277e+07
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,9,1.07114e+07
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,10,9.2903e+06
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,11,8.00291e+06
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,12,6.68731e+06
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,13,5.43815e+06
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,14,4.45222e+06
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,15,3.55887e+06
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,16,2.96532e+06
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,17,2.65522e+06
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,18,2.28033e+06
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,19,1.87294e+06
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,20,1.47023e+06
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,21,1.09482e+06
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,22,770841.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,23,471076.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,24,227756.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,25,204524.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,26,190747.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,27,159741.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,28,132690.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,29,112519.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,30,81666.9
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,31,72927.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,32,34358.9
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,33,25755.4
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,34,7267.11
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,35,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,36,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,37,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,38,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,39,1672.11
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,40,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,41,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,42,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,43,1693.68
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,44,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,45,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,46,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,47,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,48,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,49,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,50,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,-1,1.04544e+07
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,51,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,52,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,53,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,54,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,55,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,56,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,57,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,58,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,59,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,60,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,61,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,62,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,63,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,64,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,65,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,66,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,67,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,68,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,69,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,70,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,71,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,72,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,73,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,74,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,75,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,76,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,77,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,78,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,79,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,80,0.0
9,0.005,19,555,1.0,0.0,25,2,3,3,100,106,81,0.0
