batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,0,49.5775
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,1,45.9061
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,2,42.5892
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,3,39.6188
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,4,36.9811
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,5,34.6596
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,6,32.6332
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,7,30.9002
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,8,29.4518
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,9,28.2637
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,10,27.305
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,11,26.5369
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,12,25.9183
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,13,25.4224
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,14,25.0344
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,15,24.7154
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,16,24.4434
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,17,24.206
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,18,23.9868
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,19,23.7787
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,20,23.5754
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,21,23.3794
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,22,23.181
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,23,22.9805
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,24,22.7754
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,25,22.569
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,26,22.3612
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,27,22.1538
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,28,21.9428
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,29,21.7312
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,30,21.5212
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,31,21.3184
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,32,21.1216
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,33,20.9294
