batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,0,40.9681
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,1,40.7889
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,2,40.5921
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,3,40.449
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,4,40.2787
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,5,40.0772
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,6,39.9274
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,7,39.788
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,8,39.6595
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,9,39.5374
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,10,39.4066
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,11,39.2823
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,12,39.1567
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,13,39.0245
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,14,38.8885
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,15,38.7454
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,16,38.6099
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,17,38.4776
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,18,38.3486
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,19,38.2216
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,20,38.0965
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,21,37.9745
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,22,37.8543
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,23,37.7298
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,24,37.6099
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,25,37.4895
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,26,37.3688
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,27,37.2477
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,28,37.1276
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,29,37.0104
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,30,36.8988
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,31,36.7936
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,32,36.6947
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,33,36.6008
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,34,36.5105
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,35,36.4228
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,36,36.3374
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,37,36.2542
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,38,36.1729
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,39,36.0937
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,40,36.0166
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,41,35.9415
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,42,35.8681
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,43,35.7971
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,44,35.7286
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,45,35.6622
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,46,35.5974
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,47,35.5331
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,48,35.4709
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,49,35.4106
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,50,35.3512
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,51,35.2925
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,52,35.2344
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,53,35.1767
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,54,35.1191
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,55,35.0626
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,56,35.0072
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,57,34.953
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,58,34.9001
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,59,34.8479
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,60,34.7964
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,61,34.7455
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,62,34.6954
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,63,34.646
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,64,34.5977
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,65,34.5503
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,66,34.504
