batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,0,457.258
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,1,449.631
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,2,442.1
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,3,434.67
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,4,427.341
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,5,420.116
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,6,412.992
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,7,405.968
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,8,399.043
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,9,392.221
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,10,385.497
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,11,378.873
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,12,372.35
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,13,365.926
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,14,359.603
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,15,353.378
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,16,347.249
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,17,341.216
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,18,335.28
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,19,329.442
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,20,323.702
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,21,318.058
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,22,312.512
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,23,307.061
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,24,301.705
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,25,296.443
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,26,291.271
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,27,286.19
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,28,281.201
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,29,276.301
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,30,271.495
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,31,266.776
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,32,262.148
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,33,257.608
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,34,253.157
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,35,248.789
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,36,244.501
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,37,240.296
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,38,236.174
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,39,232.137
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,40,228.181
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,41,224.304
4,0.005,1000,1250,1.0,0.0,3,3,5,3,10,100,42,220.505
