cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,0,10.5897,47.3391,0.332123,9.45129,45.2814,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,1,9.92855,46.9235,0.332175,8.96808,44.8495,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,2,9.1909,46.5164,0.332201,8.34149,44.508,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,3,8.48485,46.1433,0.332253,7.75486,44.2102,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,4,7.83622,45.8126,0.332305,7.27429,43.9633,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,5,7.27707,45.5316,0.332253,6.87224,43.7602,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,6,6.82095,45.3003,0.332201,6.52624,43.5677,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,7,6.44496,45.1061,0.332175,6.21442,43.3945,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,8,6.13982,44.9466,0.332175,5.97623,43.2526,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,9,5.88213,44.81,0.332175,5.81528,43.1255,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,10,5.6535,44.6891,0.332175,5.66244,43.0055,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,11,5.44073,44.5781,0.332175,5.50402,42.8875,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,12,5.23607,44.4745,0.332201,5.33447,42.7697,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,13,5.03386,44.3768,0.332201,5.1514,42.6535,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,14,4.83018,44.2838,0.332201,4.96362,42.5437,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,15,4.62452,44.1962,0.332227,4.77128,42.4401,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,16,4.41754,44.1133,0.331994,4.57076,42.3371,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,17,4.21607,44.0353,0.332772,4.37544,42.2391,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,18,4.0311,43.9631,0.333705,4.19694,42.152,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,19,3.86704,43.8956,0.335338,4.04317,42.0771,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,20,3.72568,43.8297,0.336583,3.90574,42.0058,0.342857
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,21,3.60949,43.7642,0.340213,3.7806,41.9341,0.342857
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,22,3.51503,43.6968,0.344905,3.67136,41.8604,0.328571
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,23,3.44199,43.6281,0.350739,3.57802,41.7841,0.328571
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,24,3.38804,43.5577,0.355691,3.50204,41.7079,0.371429
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,25,3.35113,43.4873,0.361654,3.44581,41.6352,0.385714
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,26,3.32802,43.4177,0.368317,3.40812,41.5664,0.371429
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,27,3.31655,43.3493,0.374255,3.38781,41.5009,0.371429
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,28,3.31572,43.2827,0.379233,3.38481,41.438,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,29,3.32548,43.2189,0.381384,3.39834,41.3763,0.4
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,30,3.34801,43.158,0.38587,3.42844,41.3145,0.414286
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,31,3.38516,43.0981,0.389396,3.47652,41.2529,0.385714
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,32,3.43786,43.0387,0.396733,3.54295,41.1914,0.342857
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,33,3.50646,42.98,0.405471,3.62591,41.1299,0.328571
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,34,3.59041,42.9219,0.413326,3.72294,41.0684,0.371429
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,35,3.68827,42.8647,0.419497,3.83133,41.007,0.371429
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,36,3.79806,42.8084,0.422582,3.94863,40.9456,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,37,3.91793,42.7529,0.425201,4.0736,40.8845,0.357143
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,38,4.04502,42.6991,0.42782,4.20575,40.8249,0.371429
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,39,4.17686,42.647,0.429323,4.34438,40.768,0.371429
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,40,4.31452,42.5958,0.429894,4.48854,40.7143,0.371429
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,41,4.45791,42.5452,0.430023,4.63819,40.6627,0.371429
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,42,4.60777,42.4949,0.430464,4.79273,40.6122,0.371429
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,43,4.76298,42.4457,0.431709,4.94994,40.5622,0.371429
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,44,4.92201,42.3982,0.432123,5.10914,40.5127,0.371429
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,45,5.08443,42.3525,0.432694,5.27056,40.4646,0.371429
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,46,5.24536,42.3089,0.433186,5.43352,40.4189,0.371429
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,47,5.40404,42.267,0.433731,5.59877,40.3764,0.371429
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,48,5.55702,42.2259,0.433938,5.76485,40.3361,0.371429
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,49,5.70277,42.1845,0.433938,5.92641,40.295,0.371429
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,50,5.8416,42.1434,0.433886,6.08342,40.2529,0.371429
rmse,last,9,0.001,70,555,1.0,0.0,3,2,5,1,10,551,-1,5.90855,42.1327,0.435701,6.40838,40.721,0.385714
