cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,0,7.53772,0.000531495,0.00353774,7.5417,0.000530808,0.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,10,10.0799,0.0052624,0.0356132,3.25012,0.00538832,0.1
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,20,12.009,0.00507519,0.0214623,3.17149,0.00517476,0.075
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,30,12.6551,0.00506456,0.0292453,3.09874,0.00513521,0.1
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,40,12.8886,0.00508377,0.0337264,3.08535,0.00514982,0.1
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,50,12.7878,0.00507948,0.0320755,2.97764,0.00513965,0.175
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,60,12.6495,0.0050896,0.034434,2.84241,0.00516066,0.125
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,70,12.2496,0.00524684,0.0292453,2.64137,0.00536025,0.325
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,80,11.8769,0.00569296,0.0334906,2.2829,0.00586713,0.375
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,90,11.7558,0.00589238,0.0377358,2.04427,0.00630243,0.5
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,100,11.5638,0.00649577,0.0370283,1.48389,0.00780323,0.9
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,110,7.66676,0.00452098,0.00919811,3.46109,0.00456591,0.025
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,120,7.90239,0.00611633,0.0485849,3.18873,0.00628543,0.175
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,130,7.70149,0.00514697,0.0367925,2.71424,0.00540295,0.225
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,140,8.62342,0.00652511,0.0429245,1.98539,0.00745639,0.45
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,150,9.3905,0.0081009,0.0370283,1.10364,0.0112593,0.775
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,160,9.96597,0.0111653,0.0424528,0.53884,0.0160059,0.9
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,170,10.5196,0.012186,0.0443396,0.251363,0.0193455,0.95
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,180,10.994,0.0131572,0.0367925,0.0857911,0.0214065,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,190,11.2491,0.0140853,0.0403302,0.0271887,0.0224398,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,200,11.3639,0.0143858,0.0370283,0.0268065,0.0224605,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,210,6.76159,0.00477272,0.0283019,3.2847,0.00474417,0.125
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,220,8.90017,0.00669571,0.0316038,2.14758,0.00757376,0.45
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,230,9.45771,0.00855434,0.0408019,1.26866,0.0105809,0.775
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,240,10.5744,0.0111958,0.0424528,0.363481,0.0171362,0.975
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,250,11.1457,0.012615,0.0457547,0.188279,0.0195797,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,260,11.5468,0.0135748,0.045283,0.0645546,0.0216573,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,270,11.782,0.0143571,0.0457547,0.0327107,0.0223139,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,280,11.8417,0.0145567,0.0443396,0.0217547,0.0225659,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,290,12.0725,0.0148157,0.0445755,0.0226837,0.0225788,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,300,12.2969,0.0151689,0.0431604,0.0100587,0.0228099,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,310,6.55133,0.00686393,0.0209906,3.16261,0.00594084,0.125
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,320,7.19957,0.00849108,0.0290094,1.95615,0.00907864,0.425
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,330,8.03064,0.00880781,0.0360849,0.877889,0.0122363,0.95
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,340,8.86538,0.0111733,0.0445755,0.275352,0.0185378,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,350,9.30282,0.0123005,0.0389151,0.108757,0.0208583,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,360,9.74977,0.0135689,0.0417453,0.0396067,0.0221854,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,370,9.97591,0.0140383,0.0417453,0.0214819,0.0225604,1.0
