cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,0,7.53437,0.000531422,0.000235849,7.53213,0.000531234,0.0
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,10,7.21814,0.0043308,0.0169811,3.40853,0.00449478,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,20,9.78226,0.00515781,0.0323113,3.13215,0.00527229,0.15
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,30,10.8737,0.00518559,0.0308962,3.00985,0.00534632,0.175
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,40,11.053,0.00505675,0.0158019,3.09507,0.00514321,0.2
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,50,11.3791,0.00544553,0.0346698,2.80489,0.00559386,0.2
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,60,11.3859,0.00594229,0.0353774,2.55164,0.00616351,0.225
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,70,11.4788,0.00604286,0.0341981,2.41717,0.00678046,0.25
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,80,11.5284,0.0060796,0.0306604,2.28139,0.00705569,0.275
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,90,11.5102,0.00624208,0.0294811,2.06118,0.0073496,0.375
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,100,11.6929,0.00704012,0.0353774,2.00648,0.0080484,0.35
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,110,11.7661,0.00797258,0.0372641,2.02092,0.00821183,0.375
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,120,11.6919,0.00752039,0.0334906,1.74229,0.00938621,0.45
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,130,11.8988,0.00847786,0.0311321,1.55914,0.00982035,0.55
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,140,11.9108,0.00870098,0.0278302,1.51714,0.0103944,0.525
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,150,11.9743,0.00893507,0.0313679,1.33596,0.0110022,0.625
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,160,12.0513,0.00929546,0.0330189,1.28522,0.0111151,0.625
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,170,11.7488,0.00899452,0.0365566,1.42047,0.0107179,0.55
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,180,12.088,0.0104599,0.0365566,1.10928,0.0125459,0.7
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,190,12.1578,0.0106806,0.0358491,1.06374,0.0135325,0.575
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,200,12.3425,0.0115143,0.0386792,0.842736,0.0142706,0.8
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,210,12.2505,0.0115905,0.0365566,0.71477,0.0150364,0.775
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,220,12.5725,0.012734,0.0389151,0.724698,0.0155614,0.8
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,230,12.4844,0.0129487,0.0450472,0.511548,0.0168757,0.875
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,240,12.6007,0.013226,0.0389151,0.587243,0.0164095,0.825
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,250,12.7013,0.013807,0.042217,0.407085,0.0177251,0.9
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,260,12.7375,0.0141361,0.0398585,0.333337,0.0183321,0.975
cross,last,5,0.005,40,500,0.99,3,3,5,1,100,106,-1,13.2225,0.0136286,0.0159761,12.1617,0.0138598,0.0150754
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,0,7.55116,0.000531772,0.0,7.53795,0.000531874,0.0
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,10,10.8664,0.00526686,0.0339623,3.21288,0.00537097,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,20,12.7624,0.00507218,0.0356132,3.21111,0.00512628,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,30,13.4375,0.00501352,0.0349057,3.16489,0.00507286,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,40,13.703,0.00501173,0.0323113,3.21166,0.00507131,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,50,13.8051,0.00507009,0.0341981,3.1487,0.00515175,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,60,13.8699,0.00510509,0.0332547,3.12415,0.00517514,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,70,13.8888,0.00504982,0.032783,3.15227,0.00511899,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,80,13.9118,0.00512594,0.034434,3.15518,0.00517928,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,90,13.9385,0.00502889,0.0287736,3.15368,0.00508886,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,100,13.9658,0.0051634,0.0337264,3.14261,0.00521166,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,110,13.9775,0.00504071,0.0316038,3.14952,0.00509965,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,120,14.0237,0.00504508,0.0360849,3.14987,0.00510291,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,130,14.0401,0.00509183,0.0339623,3.1526,0.00515249,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,140,14.0375,0.00505457,0.0332547,3.14113,0.00511082,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,150,14.0493,0.00508253,0.0346698,3.14486,0.00513955,0.125
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,160,14.047,0.0050346,0.0313679,3.16514,0.00510663,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,170,14.0491,0.00503896,0.0287736,3.1688,0.00510145,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,180,14.079,0.00512275,0.0353774,3.12967,0.00517243,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,190,14.0689,0.00508276,0.0337264,3.15454,0.00513878,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,200,14.0874,0.00504241,0.0337264,3.13264,0.0050876,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,210,14.094,0.00505414,0.0330189,3.10858,0.00511071,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,220,14.1048,0.00513244,0.0353774,3.17233,0.00519641,0.1
