cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,0,7.54135,0.000528164,0.0,7.55118,0.000531457,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,1,7.5402,0.000528035,0.0,7.54795,0.000531433,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,2,7.53915,0.000527937,0.0,7.54502,0.000531413,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,3,7.53804,0.000527858,9.43396e-05,7.5423,0.000531398,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,4,7.53665,0.000527798,9.43396e-05,7.53972,0.000531384,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,5,7.53606,0.00052776,9.43396e-05,7.53721,0.000531374,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,6,7.53494,0.000527735,0.000188679,7.53477,0.000531366,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,7,7.53379,0.000527727,0.000283019,7.53229,0.000531362,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,8,7.53263,0.000527738,0.000377358,7.52969,0.000531362,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,9,7.53136,0.000527763,0.000566038,7.52683,0.000531366,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,10,7.53001,0.0005278,0.000660377,7.52395,0.000531374,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,11,7.52853,0.00052784,0.000660377,7.52144,0.000531383,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,12,7.5273,0.000527881,0.000849057,7.51905,0.000531391,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,13,7.52586,0.000527916,0.00113208,7.51661,0.000531398,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,14,7.52471,0.000527944,0.00132075,7.51409,0.000531405,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,15,7.52344,0.000527966,0.00169811,7.51145,0.00053141,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,16,7.52203,0.000527979,0.00188679,7.50877,0.000531414,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,17,7.521,0.000527992,0.00292453,7.50612,0.000531418,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,18,7.51978,0.000528005,0.00349057,7.50354,0.000531421,0.01
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,19,7.51852,0.000528024,0.00424528,7.50101,0.000531426,0.01
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,20,7.51719,0.000528055,0.0054717,7.49847,0.000531433,0.01
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,21,7.51564,0.000528095,0.0059434,7.49584,0.000531443,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,22,7.51429,0.000528144,0.00698113,7.49314,0.000531455,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,23,7.51275,0.0005282,0.00764151,7.49042,0.00053147,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,24,7.51117,0.00052826,0.00783019,7.48769,0.000531485,0.0
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,25,7.50958,0.000528317,0.00801887,7.48495,0.000531499,0.01
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,26,7.50799,0.000528367,0.00830189,7.48217,0.000531514,0.01
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,27,7.5064,0.000528418,0.00811321,7.47936,0.000531528,0.01
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,28,7.50482,0.000528465,0.00820755,7.4765,0.000531542,0.01
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,29,7.50323,0.00052851,0.00820755,7.47359,0.000531556,0.01
cross,last,10,0.0005,100,500,1.0,0.0,3,3,5,1,10,106,30,7.50163,0.000528557,0.00849057,7.47063,0.00053157,0.01
