cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,0,7.72597,0.187593,0.00150943,7.72374,0.187599,0.01
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,1,7.69166,0.180892,0.0178302,7.64878,0.180896,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,2,7.56799,0.174734,0.0341509,7.40308,0.174736,0.09
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,3,7.27734,0.168815,0.0268868,6.8464,0.168824,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,4,6.97215,0.163096,0.0265094,6.23674,0.163117,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,5,6.68573,0.157769,0.0282075,5.61309,0.157817,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,6,6.46419,0.153034,0.0283962,5.06865,0.153116,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,7,6.37435,0.148828,0.0301887,4.57671,0.148957,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,8,6.45087,0.144777,0.0310377,4.32479,0.144899,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,9,6.60901,0.140665,0.0324528,4.15049,0.140775,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,10,6.79347,0.136557,0.0326415,4.04855,0.136663,0.1
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,11,6.96792,0.132582,0.0363208,3.95375,0.132663,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,12,7.13825,0.128814,0.0369811,3.95167,0.128908,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,13,7.30925,0.125291,0.0357547,3.95261,0.125373,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,14,7.47112,0.12201,0.0388679,3.96664,0.122101,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,15,7.62134,0.118939,0.0414151,3.94626,0.119058,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,16,7.75686,0.11604,0.0370755,3.98392,0.116153,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,17,7.8728,0.113332,0.0313208,3.90767,0.113421,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,18,7.98228,0.110787,0.0271698,3.9482,0.11087,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,19,8.07916,0.108353,0.0279245,3.91101,0.108463,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,20,8.17498,0.106013,0.0283962,3.92113,0.106081,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,21,8.26794,0.10382,0.0273585,3.92052,0.1039,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,22,8.35274,0.101793,0.0286792,3.91315,0.101869,0.03
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,23,8.42777,0.0999211,0.030566,3.9059,0.0999956,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,24,8.49091,0.098172,0.0354717,3.93101,0.0982456,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,25,8.54291,0.0965254,0.0346226,3.88716,0.0965753,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,26,8.57661,0.0949774,0.0351887,3.87649,0.0950244,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,27,8.61533,0.0935242,0.035,3.87365,0.0935758,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,28,8.65382,0.0921548,0.0348113,3.896,0.0921975,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,29,8.67668,0.0908685,0.0372641,3.88424,0.0909493,0.02
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,30,8.7095,0.0896598,0.0383019,3.86999,0.0897287,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,31,8.73688,0.0885115,0.0378302,3.88689,0.0885694,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,32,8.75572,0.087413,0.0398113,3.84397,0.0874834,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,33,8.77315,0.0863537,0.0389623,3.85822,0.0864315,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,34,8.79499,0.0853337,0.0351887,3.85206,0.0854007,0.04
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,35,8.82655,0.0843625,0.0332075,3.92376,0.0844255,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,36,8.84423,0.0834374,0.0311321,3.85583,0.0834862,0.04
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,37,8.86518,0.0825534,0.0319811,3.86394,0.0826247,0.09
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,38,8.88519,0.0816991,0.0301887,3.84103,0.0817704,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,39,8.89638,0.0808574,0.0336792,3.85556,0.0808975,0.1
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,40,8.9072,0.0800414,0.0322642,3.85016,0.0801047,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,41,8.91632,0.0792415,0.0319811,3.85136,0.079312,0.09
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,42,8.92613,0.0784591,0.0330189,3.82961,0.0785235,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,43,8.92963,0.0776968,0.0341509,3.85501,0.0777506,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,44,8.93531,0.0769589,0.0359434,3.85527,0.0770158,0.09
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,45,8.9386,0.0762448,0.0360377,3.86398,0.0763018,0.04
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,46,8.9471,0.0755549,0.039434,3.87361,0.0756176,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,47,8.94795,0.0748833,0.0379245,3.82919,0.0749381,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,48,8.95242,0.0742218,0.0388679,3.84386,0.0742978,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,49,8.96214,0.0735676,0.0358491,3.83889,0.0736061,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,50,8.9699,0.0729224,0.034717,3.82021,0.0729897,0.08
