cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,0,7.53565,0.000531666,0.00259434,7.54247,0.000531013,0.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,10,9.86203,0.00511905,0.0287736,3.25461,0.00524303,0.05
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,20,11.9417,0.00498291,0.0316038,3.10544,0.00507399,0.125
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,30,12.2267,0.00516026,0.0287736,3.05664,0.00523938,0.125
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,40,12.0634,0.00510188,0.0207547,2.86214,0.0051909,0.225
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,50,11.8375,0.0054783,0.0356132,2.75693,0.00551017,0.175
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,60,11.6098,0.00558814,0.0384434,2.42885,0.00579442,0.325
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,70,11.5389,0.0059521,0.0570755,1.81194,0.00687137,0.675
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,80,11.0319,0.0087061,0.0591981,1.29708,0.0101027,0.725
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,90,11.3298,0.0092116,0.0464623,0.895764,0.0128794,0.875
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,100,10.2907,0.0111757,0.053066,0.582548,0.0158319,0.875
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,110,7.12131,0.00498882,0.0235849,3.09983,0.00518115,0.225
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,120,8.90522,0.00750886,0.045283,2.26179,0.00867862,0.375
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,130,9.68018,0.00768495,0.0419811,1.49242,0.0101375,0.75
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,140,10.6301,0.00879884,0.0393868,0.760249,0.0133472,0.925
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,150,11.4363,0.0116025,0.0415094,0.329053,0.0176096,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,160,11.8206,0.0132564,0.0426887,0.13822,0.0203127,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,170,12.4966,0.0143484,0.0408019,0.0556525,0.0218278,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,180,12.7427,0.0148291,0.0384434,0.0331513,0.0223053,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,190,12.9895,0.0151437,0.0339623,0.0194092,0.0225999,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,200,13.1912,0.0152726,0.0375,0.0160529,0.0226754,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,210,6.51988,0.00489734,0.0254717,3.5374,0.00509311,0.175
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,220,7.77149,0.00617817,0.0450472,2.10768,0.00716377,0.375
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,230,8.69876,0.00903178,0.0511792,0.881324,0.0121684,0.925
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,240,10.001,0.0122423,0.0448113,0.215527,0.0190088,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,250,10.7839,0.0147195,0.0488208,0.0740762,0.0215727,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,260,11.337,0.0154496,0.0476415,0.0424171,0.0222413,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,270,11.5565,0.0159023,0.0474057,0.0152572,0.0226963,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,280,11.9124,0.0163515,0.0455189,0.00955954,0.0228209,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,290,12.013,0.0165148,0.0495283,0.0065254,0.0228896,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,300,12.0177,0.0165901,0.0495283,0.00405568,0.0229457,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,310,6.53117,0.00750567,0.025,2.95089,0.00671255,0.2
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,320,7.41094,0.0096616,0.0528302,1.51329,0.0109896,0.525
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,330,8.40187,0.0108702,0.0436321,0.68929,0.0143846,0.925
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,340,9.13426,0.0126599,0.0490566,0.489119,0.0164631,0.95
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,350,9.51592,0.0138425,0.0481132,0.299113,0.0185905,0.925
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,360,9.83522,0.0148418,0.057783,0.121223,0.0210254,0.975
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,370,10.1389,0.0153607,0.0542453,0.0728471,0.0219399,0.975
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,380,10.4022,0.0158117,0.0544811,0.0615854,0.0221934,0.975
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,390,10.5377,0.0161089,0.0589623,0.054781,0.022392,0.95
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,400,10.616,0.0161907,0.0561321,0.0468038,0.0223506,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,410,7.67775,0.0088462,0.0136792,3.39698,0.00886119,0.125
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,420,8.15146,0.00947599,0.0457547,1.76262,0.00985502,0.525
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,430,8.99649,0.0108488,0.0400943,0.709869,0.0141112,0.925
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,440,9.79263,0.0131625,0.0431604,0.239358,0.0186767,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,450,10.4256,0.0145884,0.0419811,0.125837,0.020757,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,460,10.875,0.0153606,0.0462264,0.120065,0.0208392,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,470,10.5259,0.015238,0.0426887,0.0662967,0.0216686,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,480,10.8193,0.0158778,0.0495283,0.0361949,0.0222578,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,490,11.06,0.0160053,0.0426887,0.0268934,0.0224657,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,-1,11.8837,0.0161307,0.0130624,11.8956,0.0165122,0.0
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,0,7.53678,0.000531593,0.0,7.55307,0.000531681,0.0
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,10,4.63574,0.00294822,0.0430576,4.56503,0.00299891,0.0
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,20,4.57118,0.00305815,0.0382196,4.49934,0.00309295,0.0
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,30,4.55488,0.00302861,0.0403967,4.43407,0.00306018,0.0512821
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,40,4.53895,0.00300097,0.0379777,4.42821,0.0030243,0.025641
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,50,4.51564,0.00301372,0.0391872,4.41995,0.00304321,0.025641
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,60,4.49572,0.00304539,0.0425738,4.36966,0.00306568,0.0
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,70,4.44953,0.00309044,0.0452346,4.2904,0.00315187,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,80,4.42209,0.00313535,0.0566038,4.26176,0.00318493,0.0769231
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,90,4.37963,0.00326534,0.0527334,4.14297,0.00344326,0.0769231
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,100,4.34778,0.00329624,0.0551524,4.09205,0.00353259,0.0512821
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,110,4.54531,0.00338566,0.0810353,4.65319,0.00350952,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,120,4.45327,0.00334377,0.0827286,4.52799,0.00357228,0.0769231
