fixed,noise,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy
False,True,10,0.005,100,500,0.99,3,2,7,2,100,0,4.60314,0.0994378,0.0111
False,True,10,0.005,100,500,0.99,3,2,7,2,100,10,4.07834,0.0990364,0.0468
False,True,10,0.005,100,500,0.99,3,2,7,2,100,20,4.05658,0.0990126,0.0489
False,True,10,0.005,100,500,0.99,3,2,7,2,100,30,4.04763,0.0989889,0.0501
False,True,10,0.005,100,500,0.99,3,2,7,2,100,40,3.97976,0.0988444,0.0538
False,True,10,0.005,100,500,0.99,3,2,7,2,100,50,3.91539,0.0987583,0.0389
False,True,10,0.005,100,500,0.99,3,2,7,2,100,60,3.71292,0.0984348,0.061
False,True,10,0.005,100,500,0.99,3,2,7,2,100,70,3.60764,0.0980352,0.0808
False,True,10,0.005,100,500,0.99,3,2,7,2,100,80,3.6409,0.0981314,0.0827
False,True,10,0.005,100,500,0.99,3,2,7,2,100,90,3.47547,0.0972381,0.1311
False,True,10,0.005,100,500,0.99,3,2,7,2,100,100,3.26812,0.0964571,0.1121
False,True,10,0.005,100,500,0.99,3,2,7,2,100,110,3.15182,0.0961605,0.1175
False,True,10,0.005,100,500,0.99,3,2,7,2,100,120,3.08825,0.0952224,0.1506
False,True,10,0.005,100,500,0.99,3,2,7,2,100,130,3.01673,0.0959233,0.1473
False,True,10,0.005,100,500,0.99,3,2,7,2,100,140,2.97617,0.0948183,0.177
False,True,10,0.005,100,500,0.99,3,2,7,2,100,150,2.99925,0.0949486,0.1793
False,True,10,0.005,100,500,0.99,3,2,7,2,100,160,2.95539,0.0952079,0.1664
False,True,10,0.005,100,500,0.99,3,2,7,2,100,170,3.0365,0.0955342,0.1194
False,True,10,0.005,100,500,0.99,3,2,7,2,100,180,2.89009,0.0945173,0.1897
False,True,10,0.005,100,500,0.99,3,2,7,2,100,190,2.70549,0.0927256,0.2123
False,True,10,0.005,100,500,0.99,3,2,7,2,100,200,2.72435,0.0920941,0.2277
False,True,10,0.005,100,500,0.99,3,2,7,2,100,210,2.60184,0.091156,0.2426
False,True,10,0.005,100,500,0.99,3,2,7,2,100,220,2.88395,0.0931143,0.1944
False,True,10,0.005,100,500,0.99,3,2,7,2,100,230,2.69677,0.0908424,0.2441
False,True,10,0.005,100,500,0.99,3,2,7,2,100,240,2.70058,0.0900751,0.2777
False,True,10,0.005,100,500,0.99,3,2,7,2,100,250,2.69674,0.0910741,0.2558
False,True,10,0.005,100,500,0.99,3,2,7,2,100,260,2.68277,0.0910322,0.2914
False,True,10,0.005,100,500,0.99,3,2,7,2,100,270,2.46236,0.0881637,0.3018
False,True,10,0.005,100,500,0.99,3,2,7,2,100,280,2.40923,0.086121,0.3442
False,True,10,0.005,100,500,0.99,3,2,7,2,100,290,2.48306,0.0870206,0.3051
False,True,10,0.005,100,500,0.99,3,2,7,2,100,300,2.35353,0.0862526,0.3488
False,True,10,0.005,100,500,0.99,3,2,7,2,100,310,2.8546,0.0898657,0.2798
False,True,10,0.005,100,500,0.99,3,2,7,2,100,320,2.62927,0.0889308,0.3033
False,True,10,0.005,100,500,0.99,3,2,7,2,100,330,2.28222,0.0848061,0.376
False,True,10,0.005,100,500,0.99,3,2,7,2,100,340,2.2209,0.0831727,0.4034
False,True,10,0.005,100,500,0.99,3,2,7,2,100,350,2.02061,0.0810439,0.4577
False,True,10,0.005,100,500,0.99,3,2,7,2,100,360,1.83606,0.0793194,0.4594
False,True,10,0.005,100,500,0.99,3,2,7,2,100,370,1.86908,0.0791596,0.4986
False,True,10,0.005,100,500,0.99,3,2,7,2,100,380,1.71271,0.0762004,0.5082
False,True,10,0.005,100,500,0.99,3,2,7,2,100,390,1.60453,0.0752523,0.5337
False,True,10,0.005,100,500,0.99,3,2,7,2,100,400,1.58384,0.0743123,0.5422
False,True,10,0.005,100,500,0.99,3,2,7,2,100,410,1.54933,0.0717586,0.5909
False,True,10,0.005,100,500,0.99,3,2,7,2,100,420,1.49072,0.0719616,0.5795
False,True,10,0.005,100,500,0.99,3,2,7,2,100,430,1.41777,0.0730901,0.5621
False,True,10,0.005,100,500,0.99,3,2,7,2,100,440,1.41085,0.0720813,0.5729
False,True,10,0.005,100,500,0.99,3,2,7,2,100,450,1.79612,0.0806284,0.4869
False,True,10,0.005,100,500,0.99,3,2,7,2,100,460,1.70182,0.0792189,0.517
False,True,10,0.005,100,500,0.99,3,2,7,2,100,470,1.62031,0.0765053,0.535
False,True,10,0.005,100,500,0.99,3,2,7,2,100,480,1.5351,0.0737838,0.5678
False,True,10,0.005,100,500,0.99,3,2,7,2,100,490,1.35613,0.0700186,0.6287
False,True,10,0.005,100,500,0.99,3,2,7,2,100,500,1.46418,0.0733934,0.5464
False,True,10,0.005,100,500,0.99,3,2,7,2,100,510,4.46205,0.0997354,0.0339
False,True,10,0.005,100,500,0.99,3,2,7,2,100,520,4.20375,0.0991355,0.0434
False,True,10,0.005,100,500,0.99,3,2,7,2,100,530,3.99623,0.0984076,0.07
False,True,10,0.005,100,500,0.99,3,2,7,2,100,540,3.81746,0.0979716,0.0938
False,True,10,0.005,100,500,0.99,3,2,7,2,100,550,3.71694,0.0979715,0.0851
False,True,10,0.005,100,500,0.99,3,2,7,2,100,560,3.69167,0.0973109,0.0971
False,True,10,0.005,100,500,0.99,3,2,7,2,100,570,3.39457,0.0958862,0.1324
False,True,10,0.005,100,500,0.99,3,2,7,2,100,580,3.0551,0.0940151,0.2166
False,True,10,0.005,100,500,0.99,3,2,7,2,100,590,2.71518,0.0912765,0.292
False,True,10,0.005,100,500,0.99,3,2,7,2,100,600,2.50196,0.0891875,0.322
False,True,10,0.005,100,500,0.99,3,2,7,2,100,610,2.24883,0.0863513,0.3569
False,True,10,0.005,100,500,0.99,3,2,7,2,100,620,2.5521,0.088573,0.3258
False,True,10,0.005,100,500,0.99,3,2,7,2,100,630,1.9325,0.0824988,0.4221
False,True,10,0.005,100,500,0.99,3,2,7,2,100,640,1.92691,0.081563,0.4388
False,True,10,0.005,100,500,0.99,3,2,7,2,100,650,2.23953,0.0841839,0.4028
False,True,10,0.005,100,500,0.99,3,2,7,2,100,660,1.79412,0.0801935,0.4613
False,True,10,0.005,100,500,0.99,3,2,7,2,100,670,1.84025,0.0809733,0.4322
False,True,10,0.005,100,500,0.99,3,2,7,2,100,680,1.44368,0.0756695,0.5575
False,True,10,0.005,100,500,0.99,3,2,7,2,100,690,1.22694,0.0703307,0.6173
False,True,10,0.005,100,500,0.99,3,2,7,2,100,700,1.27776,0.0687624,0.6528
False,True,10,0.005,100,500,0.99,3,2,7,2,100,710,1.03338,0.0657244,0.6893
False,True,10,0.005,100,500,0.99,3,2,7,2,100,720,1.44948,0.0732543,0.5613
False,True,10,0.005,100,500,0.99,3,2,7,2,100,730,1.09989,0.0655928,0.6921
False,True,10,0.005,100,500,0.99,3,2,7,2,100,740,0.81808,0.0585525,0.7631
False,True,10,0.005,100,500,0.99,3,2,7,2,100,750,0.905075,0.0585441,0.7655
False,True,10,0.005,100,500,0.99,3,2,7,2,100,760,0.711236,0.0534521,0.8121
False,True,10,0.005,100,500,0.99,3,2,7,2,100,770,0.606438,0.0518769,0.8228
False,True,10,0.005,100,500,0.99,3,2,7,2,100,780,0.58617,0.0501285,0.8381
False,True,10,0.005,100,500,0.99,3,2,7,2,100,790,0.671802,0.0485436,0.8504
False,True,10,0.005,100,500,0.99,3,2,7,2,100,800,0.495585,0.0426757,0.8924
False,True,10,0.005,100,500,0.99,3,2,7,2,100,810,0.38874,0.0379008,0.9101
False,True,10,0.005,100,500,0.99,3,2,7,2,100,820,0.344891,0.0357303,0.9226
False,True,10,0.005,100,500,0.99,3,2,7,2,100,830,0.292719,0.0325525,0.9314
False,True,10,0.005,100,500,0.99,3,2,7,2,100,840,0.261803,0.0314849,0.9343
False,True,10,0.005,100,500,0.99,3,2,7,2,100,850,0.301817,0.0346549,0.9275
False,True,10,0.005,100,500,0.99,3,2,7,2,100,860,0.390906,0.0391431,0.8997
False,True,10,0.005,100,500,0.99,3,2,7,2,100,870,0.379033,0.0369994,0.9037
False,True,10,0.005,100,500,0.99,3,2,7,2,100,880,0.45261,0.0381885,0.9062
False,True,10,0.005,100,500,0.99,3,2,7,2,100,890,0.317203,0.036601,0.9092
False,True,10,0.005,100,500,0.99,3,2,7,2,100,900,0.348603,0.038772,0.8914
False,True,10,0.005,100,500,0.99,3,2,7,2,100,910,0.45488,0.0382748,0.8989
False,True,10,0.005,100,500,0.99,3,2,7,2,100,920,0.625183,0.0480507,0.8429
False,True,10,0.005,100,500,0.99,3,2,7,2,100,930,1.10555,0.063213,0.7026
False,True,10,0.005,100,500,0.99,3,2,7,2,100,940,0.672594,0.0523974,0.8068
False,True,10,0.005,100,500,0.99,3,2,7,2,100,950,0.469858,0.0431085,0.8881
False,True,10,0.005,100,500,0.99,3,2,7,2,100,960,0.751097,0.0478151,0.8496
False,True,10,0.005,100,500,0.99,3,2,7,2,100,970,0.497439,0.0428222,0.8728
False,True,10,0.005,100,500,0.99,3,2,7,2,100,980,0.290807,0.0317086,0.9355
False,True,10,0.005,100,500,0.99,3,2,7,2,100,990,0.41457,0.0390075,0.8874
False,True,10,0.005,100,500,0.99,3,2,7,2,100,1000,0.631969,0.0503116,0.8132
False,True,10,0.005,100,500,0.99,3,2,7,2,100,1010,4.73687,0.100714,0.1032
False,True,10,0.005,100,500,0.99,3,2,7,2,100,1020,2.70382,0.0917782,0.2709
False,True,10,0.005,100,500,0.99,3,2,7,2,100,1030,1.98696,0.0851573,0.4072
False,True,10,0.005,100,500,0.99,3,2,7,2,100,1040,1.52397,0.0759337,0.5518
False,True,10,0.005,100,500,0.99,3,2,7,2,100,1050,1.42279,0.0724506,0.6187
False,True,10,0.005,100,500,0.99,3,2,7,2,100,1060,1.14384,0.0673384,0.6702
False,True,10,0.005,100,500,0.99,3,2,7,2,100,1070,1.03187,0.0636069,0.7217
False,True,10,0.005,100,500,0.99,3,2,7,2,100,1080,0.732097,0.0546525,0.7998
False,True,10,0.005,100,500,0.99,3,2,7,2,100,1090,0.738235,0.0523975,0.8175
False,True,10,0.005,100,500,0.99,3,2,7,2,100,1100,0.712366,0.0504911,0.8284
False,True,10,0.005,100,500,0.99,3,2,7,2,100,1110,0.583436,0.0493681,0.8364
False,True,10,0.005,100,500,0.99,3,2,7,2,100,1120,0.692491,0.0468554,0.8462
False,True,10,0.005,100,500,0.99,3,2,7,2,100,1130,0.614722,0.0471666,0.8354
False,True,10,0.005,100,500,0.99,3,2,7,2,100,1140,0.484309,0.0435454,0.8645
False,True,10,0.005,100,500,0.99,3,2,7,2,100,1150,0.574092,0.0470385,0.8498
False,True,10,0.005,100,500,0.99,3,2,7,2,100,1160,0.443486,0.0411997,0.8805
False,True,10,0.005,100,500,0.99,3,2,7,2,100,1170,0.590445,0.0437264,0.8789
False,True,10,0.005,100,500,0.99,3,2,7,2,100,1180,0.505389,0.0442371,0.8648
